run,case,n_total,n_sub,mae_norm,rmse_norm,pearson_norm,mean_shift_norm,mae_raw,p99_raw_sub,p99_raw_full,top10_mae_sub_vs_full,top10_mean_sub,top10_mean_full,top10_mean_shift,top10_ratio_sub_over_full
r3_clean_xyzgeom_tgtw_s7,AG/fast/HAN_JIAN_JUN,11325,2000,0.08871139585971832,0.14022314548492432,0.9692974072658966,-0.03768647089600563,0.23410333693027496,5.293946595191955,4.85935996055603,0.4116855263710022,3.714430570602417,3.862929582595825,-0.1484990119934082,0.9615579293333686
r3_clean_xyzgeom_tgtw_s7,AG/slow/XU_YI_CAI,10776,2000,0.10370377451181412,0.13337604701519012,0.9532426415937191,0.008441274054348469,0.29934290051460266,6.638926482200622,5.502169036865234,0.4395620822906494,3.3532702922821045,3.1831839084625244,0.17008638381958008,1.0534327857609327
r3_clean_xyzgeom_tgtw_s7,AG/slow/LIU_FENG,13590,2000,0.20114007592201233,0.3151935636997223,0.9249692216272845,-0.05579998716711998,0.3710527718067169,7.290113935470581,6.6878443574905395,0.6185874342918396,4.759213447570801,4.534353256225586,0.22486019134521484,1.0495903558099353
r3_clean_xyzgeom_tgtw_s7,AG/fast/RAN_QING_BO,17682,2000,0.21172142028808594,0.2576875686645508,0.9698581292118902,-0.12908045947551727,0.5402257442474365,12.706243772506713,13.289417972564697,0.7892231941223145,9.906554222106934,10.07880973815918,-0.1722555160522461,0.9829091410068933
r3_clean_xyzgeom_tgtw_s7,AG/slow/CHENG_LU_LI,11078,2000,0.1380067765712738,0.17267030477523804,0.9650383833169836,0.0026346894446760416,0.3720208704471588,7.293981871604919,7.238654789924621,0.6062799692153931,5.754926681518555,5.510778427124023,0.24414825439453125,1.044303768990564
r3_clean_xyzgeom_tgtw_s2025,AG/slow/WEI_BAO_XING,9850,2000,0.12934435904026031,0.16106805205345154,0.9700510189421996,-0.09587950259447098,0.42407312989234924,5.154358787536621,6.822919187545776,0.6814521551132202,3.8445534706115723,4.314067840576172,-0.4695143699645996,0.8911666697613211
r3_clean_xyzgeom_tgtw_s2025,AG/slow/LIU_JIN_LIANG,13759,2000,0.1197671964764595,0.18640992045402527,0.975614335047811,-0.08853175491094589,0.3776630461215973,9.784795217514038,10.04200408935547,0.8564772009849548,7.649411678314209,8.215950965881348,-0.5665392875671387,0.9310439789720318
r3_clean_xyzgeom_tgtw_s2025,AG/fast/FAN_JIAN_MING,10627,2000,0.13947555422782898,0.1945774406194687,0.9550308557431244,-0.08910542726516724,0.3374667167663574,5.5087901401519765,5.89410936832428,0.3967638313770294,3.562361717224121,3.822019577026367,-0.2596578598022461,0.9320626557320779
r3_clean_xyzgeom_tgtw_s2025,AG/fast/HAN_JIAN_JUN,11325,2000,0.08587761223316193,0.11205153167247772,0.9887024208241506,-0.04263537749648094,0.256443589925766,7.77284261226654,7.22788890838623,0.45210254192352295,5.068455696105957,5.031461715698242,0.036993980407714844,1.0073525314306349
r3_clean_xyzgeom_tgtw_s2025,AG/slow/XU_YI_CAI,10776,2000,0.07683368772268295,0.1064397394657135,0.9811897888158839,-0.03782003000378609,0.2679174542427063,6.584274544715881,6.350505905151367,0.44671571254730225,3.469130277633667,3.721848726272583,-0.252718448638916,0.9320986780424725
r3_clean_xyzgeom_tgtw_s2025,AG/slow/LIU_FENG,13590,2000,0.13003604114055634,0.1966177374124527,0.9617152469743756,-0.05076397582888603,0.3183300197124481,6.364009757041931,7.25626000881195,0.7313494682312012,4.9048237800598145,5.347679615020752,-0.4428558349609375,0.9171872911537285
r3_clean_xyzgeom_tgtw_s2025,AG/fast/RAN_QING_BO,17682,2000,0.1577262580394745,0.20448869466781616,0.9622048942410826,-0.08624681085348129,0.4546707570552826,9.39029839515686,9.720929965972898,0.9228225946426392,6.382469654083252,7.170342922210693,-0.7878732681274414,0.8901205595498323
r3_clean_xyzgeom_tgtw_s2025,AG/slow/CHENG_LU_LI,11078,2000,0.11370342969894409,0.14888475835323334,0.9787482376365811,-0.03749652951955795,0.3401435911655426,10.542957525253296,10.49514925956726,0.7785587906837463,7.633056640625,7.283394813537598,0.34966182708740234,1.04800808359811
