support_order,source_point_index,x_true_mm,y_true_mm,z_true_mm,distance_to_wall_true_mm,current_true_near_wall_1p5,legacy_near_wall_tag,legacy_distance_to_wall_true_mm,pnpp_fps_center,pnpp_knn_membership_count
16,651140,-15.633460998535156,-9.476832389831543,-12.841821670532227,0.7866098284721375,1,0,0.7866098880767822,0,0
17,314408,6.093724727630615,29.44901466369629,339.08111572265625,1.003753662109375,1,0,168.65277099609375,0,0
18,549364,-2.858275890350342,-7.261265754699707,-52.71455383300781,4.976719856262207,0,0,4.976719856262207,0,1
19,463748,18.59004783630371,-47.22249984741211,-89.39733123779297,0.5931633114814758,1,1,0.5931633114814758,0,0
20,546445,5.898722171783447,-24.660154342651367,-34.01255416870117,1.8769153356552124,0,0,1.8769153356552124,0,1
21,899329,16.773393630981445,-49.69074630737305,-95.75395965576172,0.7298585772514343,1,0,0.7298586368560791,0,0
22,274271,8.217033386230469,10.78797721862793,234.88572692871094,3.4234251976013184,0,0,63.05111312866211,0,0
23,491306,-4.076205253601074,12.602605819702148,3.5912442207336426,2.5122296810150146,0,0,2.5122296810150146,0,2
24,431446,-38.52703857421875,-11.017748832702637,-45.5721321105957,0.9308770298957825,1,0,0.9308770298957825,0,1
25,352023,-7.994235992431641,23.497854232788086,296.3675537109375,2.295022964477539,0,0,125.68962860107422,0,0
26,953161,32.827693939208984,-70.42317962646484,-113.71846008300781,1.4026597738265991,1,0,1.4026596546173096,0,1
27,82765,-4.057365894317627,-1.176103115081787,266.8006286621094,0.8097347617149353,1,0,93.33370971679688,0,1
28,438465,-50.62646484375,-33.25646209716797,-102.70280456542969,0.954288899898529,1,0,0.954288899898529,0,0
29,821751,-6.990604400634766,3.5306992530822754,139.4290008544922,1.5509088039398193,0,0,1.5509088039398193,0,1
30,374043,-11.04775333404541,15.302094459533691,264.8214416503906,2.102034330368042,0,0,93.42312622070312,0,1
31,419377,-25.686880111694336,-27.218862533569336,-46.06540298461914,0.755005955696106,1,0,0.755005955696106,0,1
32,747237,-54.954654693603516,-24.37074851989746,-103.4139633178711,0.6218799948692322,1,1,0.6218799948692322,1,1
33,493186,-12.281586647033691,4.508383274078369,7.373472213745117,1.6421564817428589,0,0,1.6421564817428589,0,1
34,90109,9.95700740814209,7.582139015197754,270.90777587890625,1.4212191104888916,1,0,98.33106231689453,0,1
35,425171,-24.020477294921875,-15.980289459228516,-44.986175537109375,0.796946108341217,1,0,0.7969460487365723,0,0
36,833996,5.504158973693848,-15.030481338500977,108.93701934814453,3.594987154006958,0,0,3.594987154006958,0,0
37,764456,-79.21157836914062,-5.186726093292236,-123.28526306152344,0.714616060256958,1,0,22.551006317138672,0,0
38,780504,-7.1145830154418945,13.4885892868042,39.754425048828125,2.896515130996704,0,0,2.896515130996704,0,2
39,805231,-0.6519972085952759,6.420509338378906,127.56613159179688,1.2293269634246826,1,0,1.2293269634246826,0,0
40,887189,14.468835830688477,-22.93506622314453,-85.58045959472656,0.8457236886024475,1,0,0.8457236886024475,0,1
41,781261,-1.8100749254226685,4.789233207702637,42.08930969238281,12.003414154052734,0,0,12.003414154052734,0,2
42,864402,-5.4136738777160645,-8.068218231201172,37.376197814941406,5.0804338455200195,0,0,5.0804338455200195,0,1
43,671481,11.585597038269043,-3.9812862873077393,-57.07633590698242,8.982218742370605,0,0,8.982218742370605,0,1
44,790814,-10.192917823791504,-5.655488014221191,107.87437438964844,1.024194598197937,1,0,1.0241947174072266,0,1
45,89418,-11.222234725952148,5.155512809753418,267.58056640625,1.2508970499038696,1,0,94.9365463256836,0,1
46,611371,-23.02869987487793,-11.93437671661377,-33.63285446166992,3.360424041748047,0,0,3.360424041748047,0,2
47,985202,-58.252620697021484,-107.80229949951172,-102.94029998779297,0.972084641456604,1,0,25.877544403076172,0,2
48,512117,7.8133463859558105,6.2327728271484375,162.0191192626953,2.9864261150360107,0,0,2.9864261150360107,0,1
49,950077,-104.45457458496094,21.363798141479492,-144.12193298339844,2.1396689414978027,0,0,64.69140625,0,1
50,858590,-15.089635848999023,0.0092256348580122,37.35385513305664,0.7094608545303345,1,0,0.7094608545303345,0,1
51,283939,-3.5411014556884766,19.72635269165039,234.92408752441406,1.0097700357437134,1,0,64.18167877197266,0,1
52,25522,38.70706558227539,-7.968316078186035,-126.94974517822266,2.94216251373291,0,0,20.845638275146484,0,0
53,743348,-36.40935134887695,-54.545318603515625,-83.75204467773438,0.8762105107307434,1,0,0.8762105107307434,0,1
54,427010,-39.44343948364258,-23.43254852294922,-37.14216613769531,1.118070125579834,1,0,1.118070125579834,0,1
55,151538,-7.148396968841553,-0.3500294089317322,194.5508575439453,5.331376075744629,0,0,22.366458892822266,0,1
56,318747,10.80677318572998,22.103267669677734,345.87811279296875,0.9000189304351807,1,0,174.4781494140625,0,1
57,168782,-12.123556137084961,5.355633735656738,177.28231811523438,0.7306845784187317,1,0,5.315379619598389,0,1
58,394167,-5.208617210388184,4.831065654754639,302.26983642578125,1.9526911973953247,0,0,129.28895568847656,0,1
59,628423,7.136016368865967,-9.085753440856934,-16.94219970703125,2.7105414867401123,0,0,2.7105414867401123,0,1
60,979270,-52.59077835083008,-87.39881134033203,-98.842041015625,1.5222984552383423,0,0,4.563790798187256,0,1
61,304359,-3.28739333152771,8.1253023147583,321.350341796875,3.3665637969970703,0,0,148.63075256347656,0,1
62,531323,2.0671987533569336,-17.46396255493164,63.07930374145508,1.2889974117279053,1,0,1.2889974117279053,0,2
63,851037,-13.12022876739502,-2.0700035095214844,18.17422103881836,1.0019131898880005,1,0,1.0019131898880005,0,1
64,609477,-22.360532760620117,-14.3445463180542,-39.47491455078125,0.9165909886360168,1,0,0.9165909886360168,0,1
65,495139,-12.362017631530762,2.3823928833007812,-2.11629581451416,1.0397993326187134,1,0,1.0397993326187134,0,1
66,777189,6.871646404266357,14.175947189331055,54.892513275146484,2.4520816802978516,0,0,2.4520816802978516,0,1
67,195661,4.178874969482422,14.145724296569824,202.92999267578125,1.4402207136154175,1,0,31.694425582885742,0,1
68,544223,10.117080688476562,-24.831729888916016,-35.93712615966797,2.18806791305542,0,0,2.18806791305542,0,0
69,781055,-6.5862579345703125,14.887394905090332,39.49139404296875,2.521643877029419,0,0,2.521643877029419,0,2
70,801317,-5.101286888122559,-1.0325788259506226,120.30050659179688,2.9053821563720703,0,0,2.9053821563720703,0,1
71,404673,-5.522227764129639,-4.13992166519165,-28.10436248779297,0.8309736251831055,1,0,0.8309736251831055,0,0
72,204771,0.07191457599401474,18.124055862426758,217.63963317871094,0.8752726912498474,1,0,46.79441833496094,0,1
73,283255,-0.7167136073112488,21.650903701782227,241.68380737304688,0.6343669891357422,1,0,71.0911865234375,0,1
74,661949,-4.857534408569336,-12.370088577270508,-6.411160469055176,3.249195098876953,0,0,3.249195098876953,0,1
75,880208,23.316843032836914,-29.515777587890625,-82.9507827758789,0.623424768447876,1,1,0.623424768447876,0,0
76,866022,8.106386184692383,2.12762188911438,34.1749267578125,4.300602436065674,0,0,4.300602436065674,0,2
77,551858,16.578859329223633,-20.377426147460938,-34.36952590942383,0.7983555793762207,1,0,0.7983555793762207,0,0
78,804981,11.195731163024902,-4.600638389587402,116.72010803222656,2.459688425064087,0,0,2.459688425064087,0,1
79,374435,-11.859546661376953,16.60910415649414,269.1513366699219,1.2347739934921265,1,0,97.87055969238281,1,1
80,637763,-5.633678913116455,-13.465733528137207,-0.38914886116981506,0.7802703380584717,1,0,0.7802703380584717,0,0
81,894267,13.109013557434082,-60.2542839050293,-99.09529876708984,0.7589394450187683,1,0,0.7589394450187683,0,1
82,961611,8.051255226135254,-99.97810363769531,-122.86125183105469,0.9444178342819214,1,0,34.92965316772461,0,2
83,669408,-1.3523818254470825,-5.370860576629639,-63.7166862487793,1.3082523345947266,1,0,1.3082523345947266,0,1
84,948248,-102.57172393798828,20.115358352661133,-140.30821228027344,0.86934894323349,1,0,60.84305191040039,0,1
85,32319,31.921794891357422,-21.138954162597656,-123.77669525146484,1.1051914691925049,1,0,5.829390525817871,0,1
86,357479,-5.3881072998046875,10.757711410522461,353.72442626953125,1.8681334257125854,0,0,181.07650756835938,0,2
87,747672,-57.2038459777832,-22.914379119873047,-104.61465454101562,0.6781306862831116,1,0,0.6781307458877563,0,1
88,637659,4.570734024047852,12.705754280090332,-5.366674900054932,3.772773265838623,0,0,3.772773265838623,0,1
89,282162,1.1384984254837036,20.59242057800293,245.50987243652344,1.3199125528335571,1,0,74.75460052490234,0,0
90,246458,-1.0562756061553955,-0.2104112058877945,172.18321228027344,11.623835563659668,0,0,11.623835563659668,0,0
91,501291,-2.20298171043396,8.221596717834473,144.4890899658203,1.0366311073303223,1,0,1.0366311073303223,0,2
92,664306,17.928821563720703,-6.063515663146973,-77.13362121582031,1.15010404586792,1,0,1.15010404586792,0,1
93,147818,-11.925028800964355,-2.140090227127075,195.76513671875,0.6115787029266357,1,0,22.774805068969727,0,1
94,798134,9.096946716308594,-3.0919291973114014,111.17639923095703,1.3191062211990356,1,0,1.319105863571167,0,1
95,14418,47.86042404174805,13.736695289611816,-129.1112823486328,1.6393753290176392,0,0,44.26049041748047,0,1
96,596983,20.074262619018555,-15.91422176361084,-57.87990951538086,5.83983850479126,0,0,5.83983850479126,0,1
97,829293,11.440166473388672,-12.116227149963379,113.00191497802734,0.7125123143196106,1,0,0.7125122547149658,0,1
98,883850,26.618309020996094,-27.94922637939453,-83.30892181396484,1.6763057708740234,0,0,1.6763056516647339,0,0
99,397450,11.289061546325684,-1.3157482147216797,-29.992807388305664,1.0862609148025513,1,0,1.0862609148025513,0,1
100,300873,-5.722908020019531,10.78757381439209,342.97943115234375,2.8194825649261475,0,0,170.4300079345703,0,1
101,54203,10.583465576171875,17.633745193481445,310.86492919921875,1.034786343574524,1,0,139.1878662109375,0,1
102,322309,7.402166366577148,23.831317901611328,339.1078796386719,3.0503785610198975,0,0,168.02272033691406,0,0
103,854530,-14.503493309020996,-1.5408098697662354,29.90696907043457,1.0296326875686646,1,0,1.0296326875686646,0,1
104,34465,32.60416030883789,-25.464988708496094,-126.27125549316406,1.1110150814056396,1,0,2.4295501708984375,0,0
105,157489,-8.3522367477417,8.994306564331055,201.16477966308594,3.2831218242645264,0,0,29.60706329345703,0,1
106,202971,-1.3182225227355957,15.344062805175781,203.95623779296875,1.9184589385986328,0,0,32.940277099609375,0,1
107,234831,3.9583444595336914,-11.843267440795898,175.82200622558594,0.6439902186393738,1,0,1.7459709644317627,0,1
108,306186,-10.173590660095215,10.623435020446777,329.1910400390625,1.4070765972137451,1,0,156.7461395263672,0,0
109,888876,22.282663345336914,-25.265188217163086,-82.39903259277344,3.8875856399536133,0,0,3.8875856399536133,0,0
110,641389,9.243515014648438,16.184478759765625,-1.2105982303619385,1.1014841794967651,1,0,1.1014841794967651,0,1
111,103679,8.333080291748047,16.28095245361328,268.29827880859375,2.4706313610076904,0,0,96.81465148925781,0,0
112,177069,-10.415584564208984,6.7481536865234375,186.6339569091797,1.7826218605041504,0,0,14.835992813110352,0,1
113,795936,4.310830116271973,-0.05256703495979309,112.9284896850586,1.0650806427001953,1,0,1.0650806427001953,0,0
114,987478,-60.8027458190918,-117.3773422241211,-103.26184844970703,0.6642313599586487,1,0,35.65436553955078,0,2
115,610794,-22.094959259033203,-14.134049415588379,-38.61458206176758,1.02915620803833,1,0,1.02915620803833,0,1
116,854389,-1.7099523544311523,-4.02857780456543,15.537232398986816,8.067682266235352,0,0,8.067682266235352,0,2
117,432046,-34.86160659790039,-11.21383285522461,-47.62600326538086,0.8165475130081177,1,0,0.8165475130081177,0,1
118,775134,-0.5830156803131104,13.998892784118652,55.8565559387207,4.316493034362793,0,0,4.316493034362793,0,1
119,873796,27.216411590576172,-34.20390319824219,-91.24114227294922,2.351860284805298,0,0,2.351860284805298,0,0
120,391371,-10.293402671813965,13.727107048034668,298.2591552734375,3.5269219875335693,0,0,126.45207214355469,0,0
121,701810,-27.89048957824707,-25.832124710083008,-55.52537155151367,0.7586064338684082,1,0,0.7586064338684082,0,1
122,749267,-57.71478271484375,-24.11289405822754,-110.17860412597656,0.9819599390029907,1,0,0.9819599390029907,0,1
123,653001,-14.726544380187988,-4.362082004547119,-15.320928573608398,0.9562724828720093,1,0,0.9562724828720093,0,1
124,537403,-3.7432327270507812,-14.894787788391113,49.81625747680664,0.8414713740348816,1,0,0.8414714336395264,0,2
125,589301,17.480396270751953,-21.32047462463379,-69.72807312011719,4.411430835723877,0,0,4.411430835723877,0,1
126,207396,-12.906778335571289,5.169744491577148,225.5337371826172,0.9374392628669739,1,0,53.20537567138672,1,1
127,148983,-7.501351356506348,-6.056828022003174,201.72439575195312,1.5167012214660645,0,0,28.201522827148438,0,0
128,709061,-45.67878341674805,-38.87350845336914,-75.47791290283203,1.7759257555007935,0,0,1.7759257555007935,0,1
129,57443,8.733564376831055,14.435335159301758,320.25250244140625,2.2788732051849365,0,0,148.15853881835938,0,0
130,321189,10.376825332641602,24.03571319580078,352.4814147949219,0.7995920777320862,1,0,181.26895141601562,0,1
131,2311,56.73832702636719,28.726539611816406,-130.47592163085938,0.9370637536048889,1,0,61.615360260009766,0,1
132,519945,4.093136310577393,-3.439288854598999,90.48133850097656,2.690101146697998,0,0,2.690101146697998,0,1
133,712131,-47.06366729736328,-41.16377258300781,-76.1098403930664,1.1311423778533936,1,0,1.1311423778533936,0,0
134,319219,10.684283256530762,22.674692153930664,342.7730407714844,0.7281959056854248,1,0,171.4652557373047,0,1
135,387975,-7.15347957611084,3.8414549827575684,294.1578674316406,1.1631454229354858,1,0,121.12528991699219,0,1
136,700317,-39.30986404418945,-37.39247131347656,-53.557437896728516,2.022092342376709,0,0,2.022092342376709,0,1
137,168743,-6.117265701293945,13.153931617736816,185.35763549804688,0.7858187556266785,1,0,14.208208084106445,0,0
138,905719,15.250364303588867,-52.22169494628906,-103.6844711303711,1.295579195022583,1,0,1.295579195022583,0,0
139,674669,12.354215621948242,3.133028030395508,-55.97307205200195,2.82619571685791,0,0,2.82619571685791,0,1
140,473260,19.304658889770508,-44.61028289794922,-97.1700668334961,3.962313175201416,0,0,3.962313175201416,0,1
141,727277,-49.24646759033203,-75.53900909423828,-96.23788452148438,0.5801472067832947,1,1,0.5801472067832947,0,1
142,70891,8.012674331665039,21.36181640625,364.6394348144531,2.729029655456543,0,0,193.06167602539062,0,2
143,974010,-0.8945428729057312,-109.35783386230469,-123.41197204589844,0.8452256917953491,1,0,47.69941329956055,0,2
144,126274,1.1317329406738281,4.16642951965332,311.6258850097656,0.9036253690719604,1,0,138.42355346679688,0,0
145,596421,10.537679672241211,-23.49231719970703,-64.77774810791016,4.604926586151123,0,0,4.604926586151123,0,1
146,608675,-24.78179931640625,-10.716227531433105,-37.73436737060547,1.1088459491729736,1,0,1.1088459491729736,0,0
147,71047,7.785006999969482,23.856718063354492,366.5760192871094,2.9690792560577393,0,0,195.28724670410156,0,1
148,81784,0.9628217220306396,-1.691676378250122,264.7617492675781,0.7003181576728821,1,0,91.20033264160156,0,1
149,357444,2.16180419921875,9.937580108642578,356.33404541015625,0.6944283246994019,1,0,183.48959350585938,0,0
150,346765,-5.786088943481445,26.387102127075195,291.35137939453125,0.8599655628204346,1,0,121.01460266113281,0,1
151,389210,-4.942338466644287,3.2723050117492676,291.7134704589844,1.8083255290985107,0,0,118.6174087524414,0,1
152,656380,-5.486788272857666,-14.936022758483887,-17.028085708618164,0.9185783267021179,1,0,0.9185783267021179,0,0
153,285951,-2.7737553119659424,18.069171905517578,225.38356018066406,1.6084060668945312,0,0,54.52000427246094,0,1
154,631555,-1.5751392841339111,-12.651573181152344,-5.8383708000183105,4.067007541656494,0,0,4.067007541656494,0,1
155,21898,39.779476165771484,0.43541204929351807,-129.15634155273438,0.6218332648277283,1,0,28.76052474975586,0,0
156,192884,7.259354114532471,11.956339836120605,201.1667022705078,1.4704076051712036,1,0,29.65691375732422,0,1
157,824788,4.661803245544434,-12.696049690246582,164.59373474121094,1.3911572694778442,1,0,1.3911571502685547,0,1
158,674691,18.524709701538086,1.910025715827942,-54.926788330078125,1.5002176761627197,0,0,1.5002176761627197,0,1
159,658347,-6.17370080947876,-15.0475435256958,-12.053879737854004,1.777562141418457,0,0,1.7775620222091675,0,1
160,693960,-48.35885238647461,-31.402847290039062,-62.016109466552734,0.8911291360855103,1,0,0.8911291360855103,0,1
161,421561,-35.714439392089844,-30.511993408203125,-43.31001281738281,1.475217342376709,1,0,1.4752171039581299,0,0
162,953737,34.47151184082031,-69.65455627441406,-111.51931762695312,0.9594077467918396,1,0,0.9594077467918396,0,1
163,698875,-40.252296447753906,-29.083541870117188,-64.96300506591797,3.751136541366577,0,0,3.751136541366577,0,1
164,828277,-1.7638689279556274,-11.267162322998047,159.3357696533203,2.8905277252197266,0,0,2.8905277252197266,0,1
165,988797,-62.58892822265625,-117.07750701904297,-105.05693054199219,1.4194482564926147,1,0,36.25706100463867,0,2
166,270725,10.232166290283203,2.7982208728790283,238.40603637695312,1.1552441120147705,1,0,65.48973083496094,0,1
167,951403,31.659334182739258,-73.07453155517578,-115.51313018798828,0.6094310283660889,1,1,0.6094310283660889,0,1
168,914256,26.886838912963867,-32.013553619384766,-123.20714569091797,0.7752092480659485,1,0,0.7752092480659485,0,1
169,527372,5.260543346405029,-17.45211410522461,67.7242202758789,1.3026899099349976,1,0,1.3026899099349976,0,2
170,120620,-5.912357807159424,20.24757957458496,254.6495819091797,1.8707842826843262,0,0,83.86239624023438,0,1
171,665196,21.220657348632812,-10.069726943969727,-77.17477416992188,4.213288307189941,0,0,4.213288307189941,0,0
172,301017,-6.675008296966553,11.454793930053711,330.7943420410156,4.036132335662842,0,0,158.4502410888672,0,0
173,644812,-22.660465240478516,-22.978076934814453,-17.13116455078125,0.9126462340354919,1,0,0.9126461744308472,0,1
174,937826,-88.758056640625,9.51356029510498,-130.9117431640625,0.9499447345733643,1,0,41.15651321411133,0,1
175,870,58.522769927978516,32.810482025146484,-129.75564575195312,1.6215139627456665,0,0,66.05933380126953,0,1
176,594961,0.33407431840896606,-23.147220611572266,-66.75951385498047,1.0070536136627197,1,0,1.0070536136627197,0,2
177,397197,3.006028413772583,2.777919054031372,-29.907939910888672,0.7053661346435547,1,0,0.7053660750389099,0,1
178,401211,-5.680715084075928,-3.5687026977539062,-40.49827194213867,3.323765516281128,0,0,3.323765516281128,0,1
179,188300,8.492703437805176,-1.1735979318618774,193.4894561767578,3.6128978729248047,0,0,20.73821449279785,0,1
180,187182,11.471295356750488,3.3327841758728027,192.5652618408203,1.234651803970337,1,0,20.047975540161133,0,1
181,208427,-11.784942626953125,1.3521487712860107,224.36932373046875,1.01383638381958,1,0,51.588340759277344,0,1
182,545667,-0.2945812940597534,-25.04351043701172,-44.82914733886719,2.349024772644043,0,0,2.349024772644043,0,2
183,251781,-8.952880859375,-0.76222163438797,250.49404907226562,0.8617844581604004,1,0,77.23963165283203,0,0
184,671661,-1.1661884784698486,1.8595079183578491,-54.292945861816406,1.5176594257354736,0,0,1.5176594257354736,0,2
185,454908,-43.32974624633789,-49.2567024230957,-88.4920425415039,0.7804300785064697,1,0,0.7804300785064697,0,1
186,792689,7.23782205581665,-2.3724963665008545,108.58517456054688,0.900183379650116,1,0,0.9001836180686951,0,1
187,712222,-39.45328903198242,-44.83610153198242,-73.79479217529297,4.6919941902160645,0,0,4.6919941902160645,0,1
188,943704,-95.26298522949219,14.700223922729492,-137.21090698242188,2.3740670680999756,0,0,51.51821517944336,0,0
189,663065,-5.983609676361084,-6.057573318481445,-3.231213331222534,4.759827136993408,0,0,4.759827136993408,0,1
190,123834,4.946428298950195,5.184237480163574,301.8711242675781,1.2089958190917969,1,0,128.82598876953125,0,0
191,44508,0.8107742071151733,22.89501190185547,304.9154052734375,5.372610569000244,0,0,134.1078643798828,0,1
192,415733,-23.96442413330078,-23.293460845947266,-43.602996826171875,1.5642995834350586,0,0,1.5642995834350586,0,2
193,829971,-0.8685115575790405,-18.938034057617188,116.86221313476562,1.0760207176208496,1,0,1.0760204792022705,0,1
194,827224,4.287398338317871,-9.660611152648926,158.53147888183594,4.132043361663818,0,0,4.132043361663818,0,1
195,716140,-36.5130729675293,-48.935325622558594,-79.2237777709961,1.0663386583328247,1,0,1.0663386583328247,0,0
196,114102,10.541340827941895,13.174616813659668,250.9131317138672,1.0445832014083862,1,0,79.1382827758789,0,1
197,498951,6.1979193687438965,8.69689655303955,174.66043090820312,2.0614218711853027,0,0,3.6203272342681885,0,1
198,236223,3.185502529144287,-10.578307151794434,185.1048583984375,0.7046260833740234,1,0,11.043639183044434,0,1
199,411362,6.247220993041992,4.94109582901001,-19.44025421142578,3.339130163192749,0,0,3.339130163192749,0,1
200,644759,-25.681682586669922,-20.391979217529297,-17.84848976135254,1.4794857501983643,1,0,1.4794857501983643,0,0
201,46258,-5.185326099395752,30.53784942626953,321.3985290527344,0.814507246017456,1,0,151.3345184326172,1,1
202,693683,-36.19939422607422,-36.97200012207031,-63.4654541015625,3.857436418533325,0,0,3.857436418533325,0,0
203,577339,-9.102468490600586,-13.961995124816895,81.36579132080078,5.111380577087402,0,0,5.111380100250244,0,2
204,883704,17.22488021850586,-23.113208770751953,-90.73312377929688,0.8072072267532349,1,0,0.8072072267532349,0,1
205,635211,-3.2816414833068848,-15.824518203735352,-3.5848944187164307,0.762587308883667,1,0,0.762587308883667,0,1
206,567367,-11.00519847869873,-11.527493476867676,63.53964614868164,3.1842949390411377,0,0,3.1842949390411377,0,2
207,701720,-34.10737609863281,-33.545772552490234,-54.581050872802734,4.1390228271484375,0,0,4.1390228271484375,0,1
208,94676,11.213592529296875,9.632290840148926,284.21466064453125,0.5705522298812866,1,0,111.7656021118164,1,1
209,198962,0.620259165763855,13.43232536315918,198.4622344970703,2.912708282470703,0,0,27.33694839477539,0,1
210,157285,-4.618546962738037,-6.452775001525879,213.89112854003906,1.4237635135650635,1,0,40.19902801513672,0,1
211,687540,-33.833133697509766,-35.22819900512695,-66.93035125732422,0.6910942196846008,1,0,0.6910942196846008,0,0
212,459999,12.073973655700684,-36.67290496826172,-82.85515594482422,1.7787235975265503,0,0,1.7787235975265503,0,1
213,444040,-44.715457916259766,-39.604698181152344,-104.36697387695312,0.6161302328109741,1,1,0.6161302924156189,0,1
214,489665,-10.735177040100098,9.306679725646973,20.834802627563477,1.9170854091644287,0,0,1.9170854091644287,0,2
215,704774,-44.360084533691406,-23.010448455810547,-61.09540939331055,1.1303905248641968,1,0,1.1303905248641968,0,1
216,989117,-66.16254425048828,-122.50727081298828,-104.91268920898438,0.6355623602867126,1,0,42.347835540771484,0,1
217,319791,10.631099700927734,22.760265350341797,334.3375244140625,0.6984167695045471,1,0,163.10113525390625,0,1
218,725774,-38.14176559448242,-54.980995178222656,-80.80328369140625,0.6173778176307678,1,1,0.6173778176307678,0,1
219,304676,-11.863719940185547,12.846351623535156,339.01531982421875,0.9248835444450378,1,0,166.77699279785156,0,0
220,292747,8.61264419555664,12.339500427246094,329.86016845703125,1.1605544090270996,1,0,157.43374633789062,0,2
221,6752,53.79500961303711,21.79145050048828,-130.38931274414062,0.7638246417045593,1,0,54.08652114868164,0,0
222,501338,4.974232196807861,7.927545070648193,140.73936462402344,0.6309197545051575,1,1,0.6309198141098022,0,0
223,294776,-0.8256149291992188,5.604494571685791,326.4733581542969,0.8114714026451111,1,0,153.35498046875,0,1
224,846299,2.721008777618408,-10.245675086975098,96.28138732910156,3.865993022918701,0,0,3.865993022918701,0,1
225,127598,2.9787468910217285,13.674981117248535,298.9586181640625,8.392829895019531,0,0,127.24234008789062,0,0
226,68767,5.8020219802856445,20.75775718688965,361.72802734375,4.955102920532227,0,0,190.16595458984375,0,1
227,202749,10.743718147277832,10.293789863586426,220.78175354003906,1.010820746421814,1,0,48.878318786621094,0,1
228,316282,5.5845232009887695,29.809528350830078,347.5732421875,1.446173071861267,1,0,177.13543701171875,0,1
229,874154,27.347991943359375,-33.74607467651367,-87.67510223388672,0.7706785798072815,1,0,0.7706785798072815,0,1
230,194976,10.282486915588379,-2.4166390895843506,212.75527954101562,0.5708279013633728,1,0,39.391265869140625,0,0
231,939881,-90.97771453857422,5.925491809844971,-133.2466278076172,0.7128117084503174,1,0,41.54212951660156,0,1
232,905158,21.681303024291992,-47.64274597167969,-103.68364715576172,0.8144496083259583,1,0,0.814449667930603,0,1
233,483874,0.8776945471763611,16.510303497314453,20.804983139038086,3.6636624336242676,0,0,3.6636624336242676,0,1
234,787022,-10.439112663269043,4.0888566970825195,89.15971374511719,1.1129003763198853,1,0,1.1129003763198853,1,1
235,179450,-2.2365362644195557,11.067224502563477,189.848876953125,4.228933334350586,0,0,18.846630096435547,0,0
236,502395,2.759338140487671,7.317002773284912,142.22323608398438,1.6205885410308838,0,0,1.6205885410308838,0,1
237,370786,-10.280875205993652,29.47188949584961,344.9833068847656,1.139890432357788,1,0,174.67300415039062,0,0
238,334795,-0.5563271045684814,24.519243240356445,274.75213623046875,1.344910740852356,1,0,104.26686096191406,0,1
239,697638,-42.1674690246582,-36.68645477294922,-55.7031364440918,2.7763688564300537,0,0,2.7763688564300537,0,1
240,250504,-7.87736177444458,-1.286795735359192,236.8556365966797,1.7494292259216309,0,0,63.64617919921875,0,1
241,609658,-25.1436824798584,-17.49397850036621,-25.83614158630371,7.510282039642334,0,0,7.510282039642334,0,1
242,126621,6.551463603973389,6.985697269439697,313.1084289550781,0.8374863862991333,1,0,140.18040466308594,0,1
243,60447,9.383816719055176,12.129173278808594,323.95355224609375,0.9342021346092224,1,0,151.53517150878906,0,0
244,520906,-1.8948463201522827,-3.4292232990264893,95.96095275878906,3.957977056503296,0,0,3.957977056503296,0,0
245,202596,1.8992841243743896,16.915700912475586,215.1665802001953,1.1740293502807617,1,0,44.184051513671875,0,1
